question,expected_route,latency_seconds,tools_used,response_length,status
What's driving revenue in July 2026?,segment,18.22,"get_segment_mix, get_block_vs_transient_mix",1731,PASS
Show segment mix for August 2026.,segment,13.7,get_segment_mix,1544,PASS
Are we too dependent on OTA business?,segment,14.79,"get_segment_mix, get_segment_mix, get_segment_mix",1539,PASS
Which companies contribute most revenue?,segment,12.19,get_top_companies,1535,PASS
Analyze block versus transient mix.,segment,16.49,get_block_vs_transient_mix,1893,PASS
How has pickup performed over the last 7 days?,demand,10.63,get_pickup_delta,1071,PASS
What changed in bookings this week?,demand,12.18,get_pickup_delta,1162,PASS
How is August pacing?,demand,15.57,"get_pickup_delta, get_otb_summary",1510,PASS
Which month has weak booking momentum?,demand,21.0,"get_pickup_delta, get_pickup_delta, get_pickup_delta, get_pickup_delta, get_pickup_delta",1496,PASS
Compare pickup between July and August.,demand,13.96,"get_pickup_delta, get_pickup_delta",1376,PASS
Give me a morning briefing.,both,58.91,"task, task",2584,PASS
Summarize hotel performance and risks.,both,70.76,"task, task",3477,PASS
What should I be worried about next month?,both,19.95,"get_otb_summary, get_segment_mix, get_block_vs_transient_mix, get_pickup_delta",1995,PASS
Provide a commercial strategy update.,both,67.77,"task, task",4259,PASS
What actions should I take to improve revenue?,both,35.4,"get_otb_summary, get_otb_summary, get_pickup_delta, get_segment_mix, get_segment_mix, get_block_vs_transient_mix, get_room_type_performance",2987,PASS
What's our current OTB position?,supervisor,20.79,"get_otb_summary, get_otb_summary, get_otb_summary",1257,PASS
How many room nights are on the books?,supervisor,10.92,"get_otb_summary, get_otb_summary, get_otb_summary, get_otb_summary, get_otb_summary, get_otb_summary, get_otb_summary",790,PASS
Which room types generate the most revenue?,supervisor,10.85,get_room_type_performance,1231,PASS
What ADR are we achieving?,supervisor,11.32,get_room_type_performance,1033,PASS
Where is our largest revenue opportunity?,both,26.57,"get_otb_summary, get_otb_summary, get_otb_summary, get_pickup_delta, get_room_type_performance, get_room_type_performance, get_segment_mix, get_segment_mix",2374,PASS
